"Tax Classes","Налоговые классы"
"Tax Rates","Налоговые ставки"
"Tax","Налог"
"Shipping TaxBasis","Базовый налог на доставку"
"Shipping TaxClass","Класс налога на доставку"
"TaxBasis","Базовый налог"
"General","Общие"
"Shipping Tax","Налог на доставку"
"Tax Basis","Базовый налог"
"Tax Class","Класс налога"
"Address that will be used for tax calculation","Адрес который будет использован для просчета налога"
"Tax class that will be used for tax calculation","Класс который будет использован для просчета налога"
"Address that will be used for shipping tax calculation","Адрес который будет использован для просчета налога на доставку"
"Tax class that will be used for shipping tax calculation","Класс который будет использован для просчета налога на доставку"
