"Can't write to file %s","%s Dosyasına yazamıyor"
"Change %s's password","%s Şifre değiştirme"
"Change %s's password: Axis administrator panel","%s Şifre değiştirme: Admindmin panel"
"Csv Import/Export","Csv import/Eksport"
"Import","import"
"Invalid hash recieved. Please fill forgot form again","Geçersiz hash. Formu tekrar doldurunuz."
"Template is used already and can't be deleted","Şablon Kullanılıyor, silinemez"
"Your can't delete default Guest group id: %s ","Varsayılan konuk grubu silemezsiniz id: %s "
"Your can't delete default customer group id: %s ","Varsayılan müşteri grubu silemezsiniz id: %s "
"No","Hayır"
"Yes","Evet"
"Access Denied","Giriş Engellendi"
"Action","Eylem"
"Active","Aktif"
"All time","Herzaman"
"Amounts ","Tutarlar "
"At least one language should be determined","Dil seçimi yapınız"
"Back","Geri"
"Box Class","Kutu sınıfı"
"Cache was cleared successfully","Bellek temizlendi"
"Cannot connect to database","veritabanına bağlanamadı"
"Cannot open file with read permissions","Dosya açılamadı. Okuma izni yok"
"Change","Değiştir"
"Clear all","Tümümü temizle"
"Config","Yapılandırma"
"Configuration was saved successfully","Yapılandırma kaydedildi"
"Configuration","Yapılandırma"
"Confirm new password","Yeni şifreyi doğrula"
"Controller","Kontroller"
"Convertion rate","Dönüş oranı"
"Copy global %s successfully","%s Kopyalandı"
"Country","Ülke"
"Data was deleted successfully","Veri silindi"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped","Veri silindi. %d item(s) silindi. %d item(s) atlandı"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped","Veri güncellendi. %d item(s) güncellendi. %d item(s) atlandı"
"Day","Gün"
"Description","Tanım"
"Disable all","Hepsi Devre Dışı"
"Email Templates","Email Şablonlar"
"Email address was not found in our records","Email kaydı bulunamadı"
"Email","Email"
"Enable all","Hepsi Etkin"
"Error","Hata"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped","Aktarma tamamlandı. %d item(s) aktarıldı. %d item(s) atlandı"
"Field was deleted successfully","Alan silindi"
"Forgot Your Backend Password","Admin şifremi unuttum"
"Forgot your password?","Şifremi unuttum?"
"Global","Genel"
"Go to login page","Giriş sayfasina git"
"Group was deleted successfully","Grup silindi"
"Hide","Gizle"
"Install %s","%s Kur"
"Interface locale","Site dili"
"Layout block","Blok düzeni"
"Login to Axis administrator panel","Yönetici paneline giriş"
"Module","Modül"
"Modules","Modüller"
"Month","Ay"
"Name","İsim"
"New password","Yeni şifre"
"Next","Sonra"
"No data to delete","Silinecek kayıt yok"
"Order","Sipariş"
"Orders","Siparişler"
"Pageviews","Sayfa ziyareti"
"Parent Roles","Ana roller"
"Password","Şifre"
"Please, select some site from menu","Lütfen, menüden site seçin"
"Prev","Önce"
"Profile was deleted successfully","Profil silindi"
"Profile was saved successfully","Profil kaydedildi"
"Requested method not found","Talep yöntemi bulunamadı"
"Retrieve Your Password","Şifre kurtarıldı"
"Role was added successfully","Rol eklendi"
"Role was deleted successfully","Rol silindi"
"Role was saved successfully","Rol kaydedildi"
"Roles","Roller"
"Rules (Allow|Deny)","Kurallar (izin Ver|Reddet)"
"See your mailbox to proceed","Posta kutunuza bakınız"
"Select Site","Site Seç"
"Select data to import","Veri seçin"
"Separate block","Blok ayır"
"Separate template","Şablon ayır"
"Set the primary language please","Lütfen Dili ayarlayın"
"Show","Göster"
"Site was deleted successfully","Site silindi"
"Site was saved successfully","Site kaydedildi"
"Status was updated successfully %d item(s) was updated. %d item(s) was skipped","Durum güncellendi %d item(s) güncelendi. %d item(s) atlandı"
"Tab container","Sekme taşıyıcı"
"Template was deleted successfully","Şablon silindi"
"Template was exported successfully","Şablon aktarıldı"
"Template was imported successfully","Şablon aktarıldı"
"Templates","Şablonlar"
"Upgrade to %s","%s Yükselt"
"Use global successfully","Başarılı"
"User was deleted successfully","Kullanıcı silindi"
"User was saved successfully","Kullanıcı kaydedildi"
"Username","Yönetici"
"Users","Kullanıcılar"
"Value","Değer"
"Visitors","Ziyaretciler"
"Week","Hafta"
"Welcome","Hoşgeldin"
"Year","Yıl"
"You do not have privileges to access this action.","Bu eylem için erişim ayrıcalıklarına sahip değilsiniz."
"You have no permission for this operation","Bu işlem için izniniz yok"
"Your session has been expired. Please relogin","Oturumunuz sona ermş. Lütfen yeniden giriş yapın"
"Zone","Bölge"
"Reports","Raporlar"
"Marketing","Pazarlama"
"Design Control","Dizayn Kontrol"
"Pages","Sayfalar"
"Administrate","Yönetim"
"Site","Site"
"Admin users","Yöneticiler"
"Cache Management","Bellek yönetimi"
"Import/Export","import/Eksport"
"OsCommerce","Ticari site"
"Cache","Önbellek"
"Design","Tasarım"
"Email address is required","Email adresi gerekli"
"Password is required","Şifre gerekli"
"Password confirmation does not match","Şifre doğrulama eşleşmiyor"
"Password successfully changed","Şifre değiştirildi"
"Configuration option was saved successfully","Yapılandırma seçeneği başarıyla kaydedildi"
"Save","Kaydet"
"Cancel","iptal"
"Save and Continue Edit","Kaydet ve Devamet"
"%d new orders today, total %s","%d yeni sipariş, toplam %s"
"%d new requests today","%d yeni istek"
"Create template","Şablon yarat"
"Import template","Şablon aktar"
"Administrators","Yöneticiler"
"Update search indexes","Arama indekslerini Güncelle"
"Payment Methods","Ödeme yöntemi"
"Allowed Payment Zone","izin verilen ödeme bölgesi"
"Disallowed Shippings","izin verilmeyen kargolar"
"Order Status on payment complete","Ödemesi yapılmış şiparişlerin durumu"
"Maximum order total amount","Maksimum sipariş toplam tutarı"
"Minimum order total amount","Minimum sipariş toplam tutarı"
"Accept verification code","Doğrulama kodu kabul edildi"
"Save credit card number action","Kredi kartı numarası kaydet"
"Save verification code","Doğrulama kodu kaydet"
"Shipping Methods","Gönderme yöntemi"
"Disallowed Payments","izin verilmeyen ödemeler"
"Allowed Shipping Zone","izin verilen nakliye bölgesi"
"Accepted Credit Cards","Kredi kartı kabul edildi"
"Credits cards allowed to use with this payment method","Kredi kartları ile ödeme yapılabilir"
"Payment method will be available only for selected zone","Ödeme yöntemi yalnızca seçilen bölge için geçerli"
"Selected shipping methods will be not available with this payment method","Seçilmiş nakliye yöntemleri bu ödeme yöntemi için geçerli değildir."
"Set the status of orders made with this payment module to this value","Bu ödeme modülü için sipariş durumunu ayarlayın"
"How would you like to save credit card number","Nasıl kredi kartı numarasını kaydederim"
"Do you want to save cvv code?","CVV kodu kaydetmek istiyor musunuz?"
"Shipping method will be available only for selected zone","Nakliye yöntemi sadece seçilen bölge için geçerli"
"Selected payment methods will be not available with this shipping method","Seçilen ödeme yöntemleri bu nakliye yöntemi ile kullanılamaz"
"Such user does not exists","Böyle bir kullanıcı yok"
"Wrong password","Yanlış şifre"
"You cannot delete yourself","Kendinizi silemezsiniz"
"Display messages from service provider","Servis sağlayıcınızdan gelen mesajlar"
