"'%s' method not found among installed modules","'%s' yöntem yüklü modüller arasında bulunamadı."
"Already registered?","Zaten kaydınız varmı?"
"Card Number","Kart numarası"
"Card Owner's Name","Kart sahibinin adı"
"Checkout as Guest","Ziyaretci olarak ödeme"
"Checkout as a Guest or Register","Ziyaretci yada kayıtlı ödeme"
"Credit Card Type","Kredi kartı tipi"
"Credit Card","Kredi kartı"
"Cvv","Cvv"
"Easy access to your order history and status","Sipariş geçmişi ve durumuna kolay erişim"
"Expiration Date","Son kullanma tarihi"
"Fast and easy check out","Hızlı ve kolay ödeme"
"Login","Giriş"
"Login/Register","Giriş/Kayıt"
"Make Check payable to","ödmeyi kontrol edin"
"Only %s item(s) of '%s' are available","Sadece %s öge(ler) için '%s' uygun"
"Paypal IPN Invalid %s.","Geçersiz Paypal IPN %s."
"Please login","Lütfen giriş yapın"
"Product '%s' is not found in stock. product_id = %s","'%s' Ürün stokda bulunamadı. ürün_no = %s"
"Product '%s' is out of stock","'%s' Ürün stokda yok"
"Received IPN verification","IPN doğrulama"
"Register and save time!","Kayıt ve zamandan tasarruf!"
"Register with us for future convenience","Gelecekte sorun yaşamamak için kayıt olun"
"Register","Kayıt"
"Send Check to","Kontrol et"
"Thank You! We Appreciate your Business!","Teşekkürler!"
"Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer.","Alışveriş için teşekkür ederiz. Makbuz ve satın alma bilgilerinin, bu bilgisayarı kullanan başka kişilerin görmesini engellemek için, Oturumu Kapatınız."
"Transaction in sale mode","Satış işlemi"
"Your Order Number is","Sipariş Numaranız"
"Add new address","Yeni adres eklendi"
"Billing Address","Fatura adresi"
"CC Number","KK Numarası"
"CC Owner","KK sahibi"
"CVV Help","CVV Yardım"
"Cart is empty","Sepetiniz boş"
"Change Address","Adres Değiştir"
"Change Payment Method","Ödeme Yöntemi değiştir"
"Checked","Kontrol edildi"
"Checkout Onepage","ödeme sayfası"
"Checkout Success","Ödeme Başarılı"
"Checkout Wizard","Ödeme Sihirbazı"
"Checkout","Ödeme"
"Checkout Process","Ödeme Süreci"
"Confirm your order","Siparişinizi onaylayın"
"Create Order","Sipariş Oluştur"
"Confirmation","onay"
"Continue shopping","Alışverişe devamet"
"Continue","Devamet"
"Create New Address","Yeni adres oluştur"
"Create/Edit Address","Oluştur/Düzelt"
"Delivery Address","Teslim adresi"
"Details","Detaylar"
"Due errors while checking your shopping cart contents, we made some changes to it. Check it out now","Alışveriş sepeti içerisinde bazı hatalat düzeltildi. Şimdi konrol edin"
"Duplicate entry (must be unique set taxclass, geozone, customer group)","Yinelenen giriş ( vergi türü benzersiz, bölge, müşteri grubu olmalıdır)"
"Email","Email"
"End Price","Son fiyat"
"Error","Hata"
"Expires Date","Bitiş tarihi"
"Fill all variation options please","Tüm varyasyon seçeneklerini doldurun lütfen"
"Final price","Son fiyat"
"Image","Resim"
"Incorrect address recieved","Adres yanlış"
"Invalid address","Geçersiz adres"
"Invalid modifier value recieved","Değişen değer geçersiz"
"My Account Orders","Siparişlerim"
"Order created","Sipariş oluştur"
"Order total amount does not match paypal gross total amount","Sipariş toplam tutarı, paypal brüt toplam tutarı ile eşleşmiyor"
"Password","Şifre"
"Payment Method","Ödeme yöntemi"
"Paypal Account","Paypal hesabı"
"Paypal Express Checkout","Paypal Hızlı Ödeme"
"Pickup","Pickup"
"Price","Fiyat"
"Proceed to Checkout","Ödeme devam"
"Product was successfully added to your shopping cart","Ürün alışveriş sepetinize eklendi."
"Remove item","Ögeyi kaldır"
"Remove","Kaldır"
"Select billing address","Fatura adresi seçin"
"Select delivery address","Teslim adresi seçin"
"Selected payment method in not allowed","Seçilen ödeme yöntemine izin verilmiyor"
"Selected shipping method in not allowed","Seçilen nakliye yöntemine izin verilmiyor"
"Set required attribute: %s","Öznitelik ayarı gerekli: %s"
"Ship to same address","Aynı adrese Gönderilir"
"Shipping Method","Nakliye yöntemi"
"Shopping Cart - %s item(s)","Alışveriş sepeti - %s ürün"
"Shopping Cart","Alışveriş sepeti"
"Signup","Üye ol"
"Total","Toplam"
"Update","Güncelle"
"Use this address","Bu adresi kullan"
"View","Göster"
"We can not accept payment from this billing address.","Biz bu fatura adresi ile ödeme kabul etmiyoruz."
"We can not deliver the goods at the listed address.","Biz listelenen adrese  mal teslim etmiyoruz."
"Your shopping cart is empty","Alışveriş sepetiniz boş"
"edit","düzelt"
"loading...","yükleniyor..."
"%s item(s)","%s ürün"
"Subtotal","Aratoplam"
"Shipping","Nakliye"
"Tax","Vergi"
"Shipping Tax","Nakliye vergisi"
"Order Total Modules","Toplam sipariş modülü"
"Enabled","Etkin"
"Sort Order","Sırala"
"ShippingTax","Nakliye vergisi"
"You can add some additional information for our manager","Yönetici için bazı ek bilgiler ekleyebilirsiniz"
"You can view your order history by going to the %s page","%s sayfada sipariş geçmişinizi görüntüleyebilirsiniz"
"Display Mode for Custom Fields","Müşteri özel alanları gösterme"
"Display Shipping Address","Teslimat adresini göster"
"Default Values","Varsayılan değerler"
"Onestep Ajax Requests","Ajax istekleri adımı"
"Reload when Billing Address was Changed","Fatura Adresi Değiştiği zaman yenile"
"Reload when Delivery Address was Changed","Teslimat Adresi Değiştiği zaman yenile"
"Reload when Shipping Method was Changed","Nakliye Yöntemi Değiştiği zaman yenile"
"Reload when Payment Method was Changed","Ödeme Yöntemi Değiştiği zaman yenile"
"You can disable this option if you don't use different payment methods for different addresses","Farklı adresler için farklı ödeme yöntemleri kullanmak istemiyorsanız bu seçeneği devre dışı bırakabilirsiniz"
"You can disable this option if you don't use different shipping methods or shipping taxes for different addresses","Farklı adresler için farklı nakliye yöntemleri veya nakliye vergileri kullanmak istemiyorsanız bu seçeneği devre dışı bırakabilirsiniz"
"You can disable this option if all of your shipping methods have equal pricing, and if you don't have dependency between available payment methods and shipping method","Nakliye yöntemleri tümünde eşit fiyatlandırma varsa ve ödeme yöntemleri ile nakliye yöntemi arasında bağımlılık yoksa, bu seçeneği devre dışı bırakabilirsiniz"
"You can disable this option if you don't have dependency between available shipping methods and payment method","Nakliye yöntemleri ve ödeme yöntemini arasındaki bağımlılık yoksa bu seçeneği devre dışı bırakabilirsiniz"
"Payment Method is required.","Ödeme yöntemi gereklidir."
"Shipping Method is required.","Nakliye Yöntemi gereklidir."
"Use as Delivery Address","Teslimat Adresi olarak kullan"
"Reset","Sıfırla"
"Order review","Sipariş gözden geçir"
"Place Order","Sipariş yeri"
"Redirect Location","Yönlendirme"
"Customer will be redirected to selected page after adding item to cart","Müşteri sepetine öğe ekledikten sonra seçili sayfaya yönlendirilecek"
"Are you sure you want to remove this product from shopping cart?","Alışveriş sepetinizde ki bu ürünü kaldırmak istediğinizden emin misiniz?"
