"Categories/Pages","Kategoriler/Sayfalar"
"Category was deleted successfully","Kategori silindi"
"Category was saved successfully","Kategori kaydedildi"
"Comment successfully added","Açıklama eklendi"
"Comments","Açıklama"
"Leave your comment","Açıklama yaz"
"Page Comments","Sayfa açıklama"
"Page not found","Sayfa bulunamadı"
"Page was deleted successfully","Sayfa silindi"
"Page was saved successfully","Sayfa kaydedildi"
"Pages","Sayfalar"
"Static Blocks","Sabit Bloklar"
"Block %s not found","Blok %s bulunamadı"
"CMS","iYS"
"Uncategorized Pages","Kategorilenmemiş Sayfalar"
