"Home","Anasayfa"
"Can't open file with write permissions : %s","Dosya açılamadı, yazma izni yok : %s"
"Can't upgrade module to %s. Upgrade file not found","%s Modülü yükseltilemedi. Yükseltme dosyası bulunamadı"
"Can't write content to file :%s","Dosya yazılamıyor :%s"
"Config field '%s' was not found","'%s' yapılandırma alanı bulunamadı"
"Directory %s not readable","Dizin %s okunamadı"
"Incorect filename %s","%s yanlış dosya adı"
"Installation file not found for '%s'","'%s' için kur dosyası bulunamadı"
"Item(s)","Öğe(ler)"
"Module '%s' is installed already","Modül '%s' yüklü"
"Module '%s' is required by '%s', but can't be installed","Modül '%s' gerekli '%s', yüklü değil"
"Module '%s' was successfully installed","Modül '%s' yüklendi"
"Module '%s', (version %s %s) is required by '%s', but can't be upgraded","Modül '%s', (version %s %s) gerekli '%s', yükseltilmemiş"
"Powered by %s v. %s","Destekleyen %s v. %s"
"Report any %s you've found","Rapor %s bulundu"
"An error has occured processing your request","İşlem sırasında bir hata oluştu"
"Billing Address","Fatura Adresi"
"Box was saved successfully","Kutu kaydedildi"
"Bugs or Issues","Hata ve istekleri bildirin"
"Cannot open file with write permissions","Dosya yazılamadı, yazma izni yok"
"Close Window","Kapat"
"Config file is corrupted","Yapılandırma dosyası bozuk"
"Copyright &copy; 2008, Axis, Inc. All Rights Reserved","Copyright &copy; 2011, Örnek site. Tüm Hakları Saklıdır"
"Copyright","Copyright"
"Data was saved successfully","Veri kaydedildi"
"Date","Tarih"
"Dear","Sayın"
"Delivery Address","Teslim adresi"
"Dir %s not exist","%s dosyası yok"
"E-mail","E-posta"
"Error write file : %s dir chmod 755 need","Dosya yazma hatası : %s dir chmod 755 gerekiyor"
"File already exist","Dosya zaten mevcut"
"Filename","Dosya adı"
"If you feel that you have received this email in error, please send an email to","Bu e-posta hatalı gönderim olduğunu düşünüyorsanız, lütfen e-posta gönderiniz"
"If you want to change your password, go to %s","Eğer şifrenizi değiştirmek istiyorsanız, %s tıklayın"
"If you want to change your password, go to <a href=%s>Change password</a>","Eğer şifrenizi değiştirmek istiyorsanız, <a href=%s>Şifre değiştirme</a> tıklatın"
"Incorrect field path","Yanlış alan yolu"
"Latest version of module is already installed","Modülün son sürümü zaten yüklü"
"Login","Giriş"
"Message was sended to you. Check your mailbox","Mesaj gönderildi. Posta kutunuzu kontrol ediniz"
"Module is not installed yet","Modül henüz yüklü değil"
"Module was successfully uninstalled","Modül kaldırıldı"
"No data to save","Veri kaydedilemedi"
"Notice","Uyarı"
"Order","Sipariş"
"Password","Şifre"
"Report","Rapor"
"Required fields are missing","Gerekli alanlar eksik"
"See Details Info","Detay Bilgiler"
"Shipping","Nakliye"
"Shipping Method","Nakliye yöntemi"
"Sites","Siteler"
"Template not found","Şablon bulunamadı"
"Template was saved successfully","Şablon kaydedildi"
"Thank you for your order from %s","%s Siparişiniz için teşekkür ederiz"
"This email address was given to us by you or by one of our customers.","Bu e-posta adresi müşterilerimizden biri tarafından bize verildi."
"This link is valid for only 24 hours.","Bu bağlantı sadece 24 saat için geçerlidir.."
"This is reply on your letter to us","This is reply on your letter to us"
"To log in when visiting our site just click","To log in when visiting our site just click"
"Trace","işaret"
"Uninstall file not found","Kaldırılacak dosya bulunamadı"
"Name","Ad"
" %s is not writable"," %s yazılabilir değil"
"Mail was sended successfully","Mail gönderildi"
"Mail sending was failed.","Mail gönderilemedi."
"Please repeat the same password","Lütfen şifreyi tekrar yazın"
"'%value%' has not only alphabetic and digit characters","'%value%' sadece alfabetik ve rakam karakterleri"
"'%value%' is an empty string","'%value%' boş dize"
"'%value%' has not only alphabetic characters","'%value%' sadece alfabetik karakterler"
"'%value%' is an invalid EAN-13 barcode","'%value%' geçersiz EAN-13 barkod"
"'%value%' should be 13 characters","'%value%' 13 karakter olmalı"
"'%value%' should contain only numeric characters","'%value%' sadece sayısal karakterler içermelidir"
"'%value%' is an invalid UPC-A barcode","'%value%' geçersiz UPC-A barkod"
"'%value%' should be 12 characters","'%value%' 12 karakter olmalıdır"
"'%value%' is not between '%min%' and '%max%', inclusively","'%value%' '%min%' ve '%max%' arasında değil"
"'%value%' is not strictly between '%min%' and '%max%'","'%value%' '%min%' ve '%max%' arasında kesinlikle değil"
"'%value%' must contain between 13 and 19 digits","'%value%' 13 ve 19 basamak arasında olmalı"
"Luhn algorithm (mod-10 checksum) failed on '%value%'","Luhn algoritma (mod -10 sağlama toplamı) başarısız oldu '%value%'"
"'%value%' does not fit given date format","'%value%' tarih formatı uygun değil"
"'%value%' does not appear to be a valid date","'%value%' geçerli bir tarih olarak görünmüyor"
"'%value%' is not of the format YYYY-MM-DD","'%value%' YYYY-MM-DD formatında değil"
"No record matching %value% was found","Eşleşen kayıt yok %value% bulundu"
"A record matching %value% was found","Eşleşen bir kayıt %value% bulundu"
"'%value%' contains not only digit characters","'%value%' sadece haneli karakterler"
"'%value%' is not a valid email address in the basic format local-part@hostname","'%value%' geçerli bir e-posta adresi değil"
"'%hostname%' is not a valid hostname for email address '%value%'","'%hostname%' is not a valid hostname for email address '%value%'"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'","'%hostname%' MX kaydı için '%value%' adres geçerli görünmüyor"
