"Add","Ekle"
"Attribute","Nitelik"
"Date","Tarih"
"Price","Fiyat"
"Product (id)","Ürün (no)"
"Product date","ürün tarihi"
"Product price","Ürün fiyatı"
"Add New Discount","Yeni indirim ekle"
"Customer Groups","Müşteri Gurupları"
"Discount '%s' successefull saved","'%s' İndirim kaydedildi"
"Discount Name","İndirim adı"
"Discount Priority","İndirim önceliği"
"Discount type","İndirim tipi"
"Discounts","İndirimler"
"Edit Discount","İndirimi düzelt"
"From Date","Geçerlilik tarihi"
"Is Combined","Kombine"
"Show All","Hepsini göster"
"Show only Special"," Sadece Özelleri göster"
"Show without Special ","Özel olmayanları göster"
"Status","Durum"
"To Date","Tarih"
"Update value","Güncelle"
"You can not use those symbols","Bu sembolleri kullanamazsınız."
"Season sale","Sezonluk satış"
"General","Genel"
"Additional Conditions","Ek Koşullar"
