"Can't buy %s with qty %s","%s ile %s adet satın alamazsınız"
"New order status create : %s","Yeni sipariş durumu oluştur : %s"
"Order status  %s upload","%s durumu güncelle"
"Order status not exist","Sipariş durumu yok"
"Order status was changed to %s","%s Sipariş durumu değiştirildi"
"Product can't be shipped. Name: %s, Sku: %s","Ürün sevk edilemez. Ad: %s, Sku: %s"
"Relation no change. Order status %s is SYSTEM ","Değişmedi. Sipariş durumu %s SYSTEM "
"Actions","İşlemler"
"Backorder","Bekleyen sipariş"
"Bill to","Fatura et"
"Billing","Fatura"
"Comments","Açıklamalar"
"Customer Notified","Onaylı müşteri"
"Customer email","Müşteri email"
"Date added","Eklenme tarihi"
"Date","Tarih"
"Delivery","Teslim"
"Fax","Fax"
"Grand Total","Genel toplam"
"Id","No"
"Ip","Ip"
"Name","Ad"
"No data to print","Yazılacak veri yok"
"Order Date","Sipariş Tarihi"
"Order Number","Sipariş Numarası"
"Order Status","Sipariş Durumu"
"Order Subtotal","Sipariş Aratoplam"
"Order Total","Sipariş Toplamı"
"Order not found","Sipariş bulunamadı"
"Order status %s already exist","%s sipariş durumu var"
"Order was deleted successfully","Sipariş silindi"
"Order","Sipariş"
"Orders","Siparişler"
"Payment Method","Ödeme yntemi"
"Payment","Ödeme"
"Phone","Telefon"
"Order #%s, Credit card middle digits: %s","Sipariş #%s, Kredi kartı ortadaki hane: %s"
"Price","Fiyat"
"Products","Ürünler"
"Qty","Adet"
"Relation not exist %s <=> %s","ilişki yok %s <=> %s"
"Ship to","Gömderilir"
"Shipping","Nakliye"
"Shipping & Handling","Nakliye & Dağıtım"
"Shipping Method","Nakliye yöntemi"
"Shipping Tax","Nakliye vergisi"
"Site","Site"
"Sold to","Satılan"
"Status not exist","Durum yok"
"Status was deleted successfully","Durum silindi"
"Status was saved successfully","Durum kaydedildi"
"Tax","Vergi"
"Total Shipping Charges","Toplam nakliye bedeli"
"Total","Toplam"
"Undefined","Tanımsız"
"View All","Tümünü göster"
"View","Göster"
"edit","düzenle"
"new window","yeni pencere"
"Recent Orders","Son siparişler"
"No orders found","Sipariş bulunamadı"
"Order statuses","Sipariş durumu"
"Sales","Satışlar"
"Default Order Status","Sipariş durumları"
"Order notifications reciever","Alıcı sipariş bildirimleri"
"Pattern for Custom Order Number","Müşteri sipariş numarası"
"Prefix for Custom Order Number","Müşteri sipariş numarası ön eki"
"All notifications about new orders will be sended to this email","Yeni siparişlerle ilgili tüm bildirimler, bu e-postaya gönderilecek"
"Order created","Sipariş oluştur"
"Your order","Siparişiniz"
"All Time Sales","Tüm satışlar"
"Today Sales","Günlük satışlar"
"Average Order Total","Ortalama Sipariş Toplamı"
"Conversion rate","Dönüş oranı"
"Order Information","Sipariş bilgileri"
"An order has been created on %s","%s bu sipariş üzerine oluşturuldu"
"Status of your order has been changed","Siparişinizin durumu değiştirildi"
"Your order #%s status has been changed to %s","siparişiniz #%s durumu %s olarak değişti"
"You can check the status of your order by <a %s>logging into your account</a>","<a %s>Hesabıma gir</a> Buradan Siparişinizin durumunu kontrol edebilirsiniz."
"You can check the status of your order by logging into your account","Hesabınıza giriş yaparak sipariş durumunu kontrol edebilirsiniz"
"Order #%s. Credit card number","Sipariş #%s. Kredi kartı numarası"
