"Can't create folder %s. Permission denied","%s dosya oluşturulamadı. oluşturma izni yok"
"Can't write to folder %s. Permission denied","%s dosyaya yazılamadı. yazma izni yok"
"Search results for '%s'","'%s' için arama sonuçları"
"Advanced Search","Gelişmiş Arama"
"All result","Tüm sonuçlar"
"Item(s)","Ürün"
"Please, update search indexes, to enable search functionality","Arama işlevlerini etkinleştirmek için, arama dizinleri güncelleyin"
"Search entire store...","Tüm sitede ara..."
"Search returns no results","Sonuç yok"
"Search","Arama"
"Searches last month","Geçen ay aramalar"
"Searches last week","Geçen hafta aramalar"
"Searches today","Bugün aramalar"
"Searches with null result","Sonuç yok"
"Show per page","Göster"
"Search Queries","Arama Sorguları"
