"Engines","Motorlar"
"Not used","Kullanılmıyor"
"Products","ürünler"
"Results","Sonuçlar"
"Site Map All Pages","Site tüm sayfalar"
"Site Map All Products","Site tüm ürünler"
"Site Map Categories","Site kategoriler"
"Sitemap","Site haritası"
"Ask Ping Url","Url pingle"
"Enabled","Etkin"
"Frequency","Sıklık"
"Google Ping Url","Google Ping Url"
"Msn Ping Url","Msn Ping Url"
"Priority","Öncelik"
"Show pages","Sayfaları göster"
"Start Time","Başlama zamanı"
"Yahoo Ping Url","Yahoo Ping Url"
"Categories Options","Kategoriler Opsiyonu"
"CMS Pages Options","İYS Sayfaları Opsiyonu"
"General","Genel"
"Products Options","Ürünler opsiyonu"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","Sitenizdeki diğer URL'lere göre bu URL'nin  önceliği. Geçerli değerler 0.0 ile 1.0 arasında olmalıdır"
"Show pages on sitemap page","Site haritasını göster"
