"Products associated with tag '%s'","'%s' ürün ile ilgili etiketler"
"Tag '%s' was successfully added to product","'%s' etiket ürün için eklendi"
"Your tag '%s' is already added to this product","%s' etiket zaten var"
"Add Tags","Etiket ekle"
"Add multiple tags separated by commas","Virgülle ayrılmış birden çok etiket ekle"
"Customer tags","Müşteri etiketleri"
"No tags found","Etiket bulunamadı"
"Remove item","Öge kaldır"
"Tags","Etiketler"
"There are no products matching your request","İsteğiniz ile eşleşen herhangi bir ürün bulunamadı"
"Remove tag from this product","Bu ürün etiketini kaldır"
"My Tags","Etiketlerim"
"Product Tags","Ürün etiketleri"
"Tag","Etiket"
"Default customer tag status","Varsayılan müşteri etiketi durumu"
"Default guest tag status","Varsayılan ziyaretci etiketi durumu"
"General","Genel"
"Default tag status added by registered customer","Varsayılan etiket kayıtlı müşteri tarafından eklendi"
"Default tag status added by guest","Varsayılan etiket ziyaretci tarafından eklendi"
