"Tax Classes","Vergiler"
"Tax Rates","Vergi oranları"
"Tax","Vergi"
"Shipping TaxBasis","Nakliye vergi matrah"
"Shipping TaxClass","Nakliye vergi türü"
"TaxBasis","Matrah"
"General","Genel"
"Shipping Tax","Nakliye vergisi"
"Tax Basis","Vergi matrahı"
"Tax Class","Vergi türleri"
"Address that will be used for tax calculation","Vergi hesaplanması için kullanılacak Adres"
"Tax class that will be used for tax calculation","Vergi sınıfı vergi hesaplama için kullanılır"
"Address that will be used for shipping tax calculation","Nakliye vergi hesaplama için kullanılacak Adres"
"Tax class that will be used for shipping tax calculation","Vergi sınıf nakliye vergi hesaplanması için kullanılacak"
