"Can't write to file %s","Не вдається записати у файл %s"
"Change %s's password","Змінити пароль %s"
"Change %s's password: Axis administrator panel","Змінити пароль %s': Axis панель адміністратра"
"Csv Import/Export","Csv Імпорт/Експорт"
"Import","Імпорт"
"Invalid hash recieved. Please fill forgot form again","Неправильний хеш. Будь ласка, заповніть форму знову"
"Template is used already and can't be deleted","Цей шаблон дизайну зараз використовується тому не може бути видаленим"
"Your can't delete default Guest group id: %s ","Ви не можете видалити групу 'Гостя' з індентифікатором: %s "
"Your can't delete default customer group id: %s ","Ви не можете видалити групу 'По замовчуванню' з індентифікатором: %s "
"No","Ні"
"Yes","Так"
"Access Denied","Доступ Заборонено"
"Action","Дія"
"Active","Активний"
"All time","За весь час"
"Amounts","Сума"
"At least one language should be determined","Хоча б одна мова має бути"
"Back","Назад"
"Box Class","Клас блоку"
"Cache management","Керування кешем"
"Cache was cleared successfully","Кеш був очищений успішно"
"Cannot connect to database","Не можу з'єднатися з базою даних"
"Cannot open file with read permissions","Не вдається відкрити файл з правом на читання"
"Change","Зміна"
"Clear all","Очистити все"
"Config","Конфіґурація"
"Configuration option was saved successfully","Конфігураційна опція успішно збережена"
"Configuration","Конфіґурація"
"Confirm new password","Підтвердіть новий пароль"
"Controller","Контролер"
"Convertion rate","Рейтинг конверсії"
"Copy global %s successfully","Копіювання %s успішно завершено"
"Country","Країна"
"Data was deleted successfully","Дані були успішно видалені"
"Data was deleted successfully. %d item(s) was deleted. %d item(s) was skipped","Дані були успішно видалені. %d запис(ів) були видалені. %d запис(ів) пропущено"
"Data was updated successfully. %d item(s) was updated. %d item(s) was skipped","Дані були успішно оновлені. %d запис(ів) були оновлені. %d запис(ів) пропущено"
"Day","День"
"Description","Опис"
"Disable all","Відключити всі"
"Email Templates","Шаблони листів"
"Email address was not found in our records","Ця електрона адреса не була знайдена серед ниших записів"
"Email","Електрона почта"
"Enable all","Включити всі"
"Error","Помилка"
"Export process has been completed. %d item(s) was exported. %d item(s) was skipped","Процес ексорту завершено. %d запис(ів) заекспортовано. %d запис(ів) пропущено"
"Field was deleted successfully","Поле видалено успішно"
"Forgot Your Backend Password","Забув свій пароль адміністратора"
"Forgot your password?","Забув свій пароль?"
"Global","Глобальний"
"Go to login page","Перейти на сторінку входу"
"Google Base","Google Base"
"Group was deleted successfully","Група успішно видалена"
"Hide","Сховати"
"Install %s","Встановити %s"
"Interface locale","Локалізація"
"Layout block","Контейнер"
"Login to Axis administrator panel","Увійти в панель адміністрування Axis"
"Module","Модуль"
"Modules","Модулі"
"Month","Місяць"
"Name","Ім'я"
"New password","Новий пароль"
"Next","Наступне"
"No data to delete","Нема даних для видалення"
"Order","Замовлення"
"Orders ","Замовлення"
"Pageviews","Перегляди"
"Parent Roles","Батьківські ролі"
"Password","Пароль"
"Please, select some site from menu","Будь ласка, виберіть будь-який сайт з меню"
"Prev","Попередня"
"Profile was deleted successfully","Профіль успішно видалено"
"Profile was saved successfully","Профіль успішно збережено"
"Requested method not found","Обраний метод не знайдено"
"Retrieve Your Password","Повторіть пароль ще раз"
"Role was added successfully","Роль успішно додана"
"Role was deleted successfully","Роль успішно видалена"
"Role was saved successfully","Роль збережено"
"Roles","Ролі"
"Rules (Allow|Deny)","Правила (Дозволені|Заборонені)"
"See your mailbox to proceed","Дивіться вашу поштову скриньку, щоб продовжити"
"Select Site","Виберіть сайт"
"Select data to import","Визначте дані для імпорту"
"Separate block","Окремий блок"
"Separate template","Окремий шаблон"
"Set the primary language please","Задайте основну мову"
"Show","Показати"
"Site was deleted successfully","Сайт успішно видалено"
"Site was saved successfully","Сайт успішно збережено"
"Status was updated successfully %d item(s) was updated. %d item(s) was skipped","Статус успішно оновлено в %d записів. %d пропущено"
"Tab container","Tab контейнер"
"Template was deleted successfully","Шаблон успішно видалено"
"Template was exported successfully","Шаблон успішно експортовано"
"Template was imported successfully","Шаблон успішно імпортовано"
"Templates","Шаблони"
"Upgrade to %s","Оновити до %s"
"Use global successfully","Використовується глобально"
"User was deleted successfully","Користувача видалено"
"User was saved successfully","Користувача збережено"
"Username","Ім'я користувача"
"Users","Користувачі"
"Value","Значення"
"Visitors","Відвідувачі"
"Week","Неділя"
"Welcome","Вітаємо"
"Year","Рік"
"You do not have privileges to access this action.","У вас немає прав для доступу до цих дій."
"You have no permission for this operation","У вас немає прав для цієї операції."
"Your session has been expired. Please relogin","Ваш сеанс завершився. Увійдіть ще раз"
"Zone","Район"
"Reports","Звіти"
"Marketing","Маркетинг"
"Design Control","Дизайн"
"Pages","Сторінки"
"Administrate","Адміністрування"
"Site","Сайт"
"Admin users","Адміністратори"
"Cache Management","Керування кешем"
"Import/Export","Імпорт/Експорт"
"csv Import/Export","CSV Імпорт/Експорт"
"OsCommerce","OsCommerce"
"Cache","Кеш"
"Design","Дизайн"
"Email address is required","Адресс електроної пошти обовязкове поле"
"Password is required","Вкажіть пароль"
"Password confirmation does not match","Паролі не співпадають"
"Password successfully changed","Пароль успішно змінено"
"Configuration option was saved successfully","Опція була успішно збрежена"
"Save","Зберегти"
"Cancel","Скасувати"
"Save and Continue Edit","Зберегти та продовжити редагування"
"%d new orders today, total %s","%d нових замовлень за сьогодні, загальна сума %s"
"%d new requests today","%d нових звернень"
"Create template","Створити шаблон"
"Import template","Імпортувати шаблон"
"Administrators","Адміністратори"
"Update search indexes","Оновити індекси пошуку"
"Payment Methods","Методи платежів"
