"Minimum Qty for Item's","Мінімальна кількість продуктів"
"No categories found","Жодної категорії не знайдено"
"Regular price","Ціна"
"Special price","Спеціальна ціна"
"You save","Ви економите"
"Add to Compare","Додати до порівняння"
"Add to Wishlist","Додати до списку бажань"
"Add to cart","Додати в кошик"
"Add","Дадати"
"Additional images","Додаткові зображення"
"All Products","Всі продукти"
"Attributes","Атрибути"
"Backorders","Backorders"
"Base Image","Базове зображення"
"Begin","Починати"
"Catalog","Каталог"
"Categories","Категорії"
"Category successfully saved","Категорія успішно збережена"
"Choose option","Виберіть опцію"
"Close","Закрити"
"Code","Код"
"Comparable","Порівнянні"
"Compare","Порівняти"
"Data has been saved successfully","Дані були успішно збережені"
"Data was successfully saved","Дані були успішно збережені"
"Date Available","Доступне з"
"Description","Опис"
"Duplicate entry (url)","Таке посилання вже є"
"Empty","Пусто"
"End","Кінец"
"Enter path","Ведіть шлях"
"Featured","Рекомендовані"
"Filterable","Фільтровані"
"Grid","Решітка"
"SEO url","SEO посилання"
"Image %s of %s","Малюнок %s з %s"
"Image SEO prefix","Префікс SEO малюнка"
"Image","Малюнок"
"Invalid data recieved","Отримані невірні дані"
"Invalid parameter recieved. ProductId is required","Отримано неправильний параметр. Потрібно ProductId"
"Item(s)","Продукт(ів)"
"Keywords","Ключові слова"
"Language sensivity","Залежить від мови"
"List","Список"
"Loading error","Помилка завантаження"
"Loading","Завантаження"
"Main Images","Головний малюнок"
"Manage stock","Управління складом"
"Manufacturer was deleted successfully","Дані успішно видалено"
"Manufacturer","Виробник"
"Maximum Qty Allowed","Максимальна дозволенна кількість"
"Maximum allowed quantity is %d","Максимально дозволеною кілкістю є %d"
"Method %s not exist","Метод %s не  існує"
"Minimum Qty Allowed","Мінімально дозволена кількість"
"Minimum allowed quantity is %d","Мінімально дозволеною кілкістю є %d"
"Name","Ім'я"
"Next","Наступний"
"No description available","Немає опису"
"Notify for Quantity Below","Повідомити про кількість нижче"
"Only %d %s available","Тільки %d %s доступно"
"Only %d %s","Тільки %d %s"
"Option Label","Назва опції"
"Option was deleted successfully","Опцію успішно видалено"
"Option was saved successfully","Опцію успішно збережено"
"Out of stock","Немає в наявності"
"Please fill product url field","Будь ласка, заповніть поле URL продукт"
"Please, add products for comparation","Будь ласка, додайте продуктів для порівняння"
"Prev","Попередній"
"Preview","Анонс"
"Price","Ціна"
"Product %s not found","Продукт %s не знайдено"
"Product Attributes","Атрибути продукта"
"Product Comparison","Порівняння продуктів"
"Product is out of stock","Продукту немає в наявності"
"Product not found","Продукт не знайдено"
"Product url not saved. Duplicate entry url","URL товару не зберігаються. Такий URL уже існує"
"Products Catalog","Каталог продуктів"
"Products","Продукти"
"Qty Uses Decimals","Використовувати"
"Quantity","Кількість"
"Quick Overview","Швидкий огляд"
"Remove filter","Видалити фільтр"
"Remove item","Видалити елемент"
"Remove","Видалити"
"SEO","SEO"
"Sku","Складський номер"
"Save","Зберегти"
"Search indexes updated successfully","Індекси пошуку успішно оновлені"
"Searchable","Доступний для пошуку"
"Set product as new From","Встановити продукт Новим з"
