"'%s' method not found among installed modules","'%s' метод не знайдено серед встановлених модулів"
"Already registered?","Вже зареєстровані?"
"Card Number","Номер кредитної картки"
"Card Owner's Name","Ім'я власника кредитної картки"
"Checkout as Guest","Оформити замовлення в якості Гостя"
"Checkout as a Guest or Register","Оформіть замовлення як гість або зареєструйтесь"
"Credit Card Type","Тип кредитної картки"
"Credit Card","Кредитна картка"
"Cvv","Cvv"
"Easy access to your order history and status","Легкий доступ до історії ваших замовлень та їх статусів"
"Expiration Date","Дійсна до"
"Fast and easy check out","Швидкий та легкий процес оформлення замовлення"
"Login","Увійти"
"Login/Register","Увійти/Зареєструватися"
"Make Check payable to","Зробити чек"
"Only %s item(s) of '%s' are available","Тільки %s продуктів із '%s' є в наявності"
"Paypal IPN Invalid %s.","Невірний Paypal IPN %s."
"Please login","Будь ласка, увійдіть"
"Product '%s' is not found in stock. product_id = %s","Продукту '%s' не знайдено на складі. product_id = %s"
"Product '%s' is out of stock","Продукту '%s' нема в наявності"
"Received IPN verification","Надійшов IPN перевірки"
"Register and save time!","Зареєструйся і збережи свій час"
"Register with us for future convenience","Зареєструйтесь для зручності в майбутньому"
"Register","Реєстрація"
"Send Check to","Відправити чек до"
"Thank You! We Appreciate your Business!","Дякуємо за приділений час"
"Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer.","Дякуємо вам за покупки. Будь ласка, натисніть на Вихід, щоб ваша покупка і інформації про неї  не була доступною для цього комп'ютера для інших осіб."
"Transaction in sale mode","Транзакція в режимі покупки"
"Your Order Number is","Ваш номер замовлення"
"Add new address","Додати нову адресу"
"Attributes","Атрибути"
"Billing Address","Адреса оплати"
"CC Number","Номер кредитної картки"
"CC Owner","Власник кредитної картки"
"CVV Help","CVV допомога"
"CVV","CVV"
"Cart is empty","Кошик порожній"
"Change Address","Змінити адресу"
"Change Payment Method","Змінити спосіб оплати"
"Checked","Перевірено"
"Checkout Onepage","Оформити замовлення на одній стрінці"
"Checkout Success","Успішно оформлено"
"Checkout Wizard","Майстер замовлення"
"Checkout","Оформити замовлення"
"Checkout Process","Оформлення замовлення"
"Click here to pay via PayPal Express Checkout","Натисніть тут, щоб оплатити через PayPal Express Checkout"
"Confirm your order","Підтвердіть ваше замовлення"
"Create Order","Створити замовлення"
"Confirmation","Підтвердження"
"Continue shopping","Продовжити шопінг"
"Continue","Продовжити"
"Create New Address","Створити нову адресу"
"Create/Edit Address","Створити/Редагувати адрес"
"Delivery Address","Адреса доставки"
"Details","Деталі"
"Due errors while checking your shopping cart contents, we made some changes to it. Check it out now","Через помилки під час перевірки вашого кошика ми змінили його вміст. Погляньте на нього зараз."
"Duplicate entry (must be unique set taxclass, geozone, customer group)","Дублювання входження (ці дані мусять бути унікальними taxclass, geozone, customer group)"
"Email","Електрона почта"
"End Price","Кінцева ціна"
"Error","Помилка"
"Expires Date","Дійсна до"
"Fill all variation options please","Заповніть всі параметри варіації, будь-ласка"
"Final price","Кінцева ціна"
"Image","Малюнок"
"Incorrect address recieved","Отримана направильна адреса"
"Invalid address","Направильна адреса"
"Invalid modifier value recieved","Передане не коректне значення модифікатора"
"My Account Orders","Мої замовлення"
"Order total amount does not match paypal gross total amount","Загальна сума замовлення не відповідає валовій PayPal сумі"
"Password","Пароль"
"Payment Method","Метод оплати"
"Paypal Account","Профіль Paypal"
"Paypal Express Checkout","Paypal Express Checkout"
"Pickup","Самовивіз"
"Price","Ціна"
"Proceed to Checkout","Перейти до оформлення замовлення"
"Product was successfully added to your shopping cart","Продукт успішно додано до Вашого кошику"
"Product","Продукт"
"Quantity","Кількість"
"Remove item","Видалити"
"Remove","Видалити"
"Select billing address","Виберіть адресу оплати"
"Select delivery address","Виберіть адресу доставки"
"Selected payment method in not allowed","Обраний метод платежу не допускається"
"Selected shipping method in not allowed","Обраний метод доставки не допускається"
"Set required attribute : %ss","Визначте обов'язкові атрибути"
"Ship to same address","Відправити на цю ж адресу"
"Shipping Method","Метод доставки"
"Shopping Cart - %s item(s)","Кошик - %s продукт(ів)"
"Shopping Cart","Кошик"
"Signup","Реєстрація"
"Total","Всього"
"Update","Оновити"
"Use this address","Використовувати цю адресу"
"View","Перегляд"
"We can not accept payment from this billing address.","Ми не можем прийняти оплату з цієї адреси оплати"
"We can not deliver the goods at the listed address.","Ми не можемо доставити товар за вказаною адресою."
"You will be redirected to PayPal website when you place an order","Ви будете перенаправлені на сайт PayPal, під час розміщення замовлення"
"You will be redirected to paypal in a few seconds.","Ви будете перенаправлені на PayPal за кілька секунд."
"Your shopping cart is empty","Ваш кошик порожній"
"edit","редагувати"
"loading...","завантаження..."
"%s item(s)","%s штук(а)"
"Subtotal","Разом"
"Shipping","Доставка"
"Tax","Податок"
"Shipping Tax","Податок на доставку"
"Order Total Modules","Модулі суми замовлення"
"Enabled","Увімкнено"
"Sort Order","Порядок сортування"
"ShippingTax","Податок на доставку"
"You can add some additional information for our manager","Ви можете залишити додаткову інформацію для нашого менеджера"
"You can view your order history by going to the %s page","Ви можете переглянути історію ваших замовлень на сторінці %s"
