"Categories/Pages","Категорії/Сторінки"
"Category was deleted successfully","Кетегорія успішно видалена"
"Category was saved successfully","Категорія успішно збережена"
"Comment successfully added","Коментар успішно додано"
"Comments","Коментарі"
"Leave your comment","Залиште свій коментар"
"Page Comments","Коментарі"
"Page not found","Сторінку не знайдено"
"Page was deleted successfully","Сторінку успішно видалено"
"Page was saved successfully","Сторінку успішно збережено"
"Pages","Сторінки"
"Static Blocks","Статичні блоки"
"Call Us","Телефонуйте"
"Help desk","Допомога"
"Shipping","Доставка"
"Privacy","Приватність"
"Sitemap","Карта сайту"
"Contacts","Зворотній зв'язок"
"Htc Hero Special Offer. 20% Off","Htc Hero Спеціальна пропозиція. Скидка 20%"
"Info","Інформація"
"Privacy Policy","Політика конфіденційності"
"Terms &amp; Conditions","Правила і умови"
"Contact Us","Зв'яжіться з нами"
"Company history","Історія компанії"
"Delivery Time","Термін доставки"
"Shipping &amp; Rates","Доставка та Курси"
"Order Return &amp; Refund"," Повернення та Відшкодування"
"Careers at Axis Demo Store","Кар'єра на Axis Demo Store"
"Information","Інформація"
"Become a Supplier","Стати постачальником"
"general","Загальне"
"Terms of use","Умови використання"
"Shipping and returns","Доставка і повернення"
"About us","Про нас"
"Please notice! This is a demo store. Any order placed will not be processed.","Зверніть увагу! Це демо-магазин. Будь-яке замовлення не буде оброблено."
"Please enable JavaScript in your browser.","Активуйте JavaScript у вашому броузері."
"About Us","Про нас"
"Axis Demo store","Axis Демонстраційний магазин"
"USA, New York, Street Address, 10001","Україна, м.Рівне, вул.Соборна, 33000"
"Phone","Телефон"
"Demo Store. All rights reserved.","Демонстраційний магазин. Всі права захищено."
"Block %s not found","Блок %s не знайдений"
"CMS","Контент"
"Uncategorized Pages","Сторінки без категорій"
