"Contact Us","Зворотній зв'язок"
"Incoming Box","Вхідні повідомлення"
"Date&amp;Time","Дата&amp;Час"
"Department was deleted successfully","Департамент успішно видалено"
"Department was saved succesfully","Департамент успішно збережено"
"Your message was successfully added","Ваше повідомлення успішно відправлено"
"Custom fields","Додаткові поля"
"From","Від"
"Department","Департамент"
"Email","Електроний адрес"
"Full name","Повне ім'я"
"Message","Повідомлення"
"Subject","Тема"
"Send Message","Надіслати повідомлення"
