"Home","Головна"
"Can't open file with write permissions : %s","Неможу відкрити файл на запис : %s"
"Can't upgrade module to %s. Upgrade file not found","Неможу обновити модуль %s. Файл оновлень не знайдено"
"Can't write content to file :%s","Не можу записати дані в файл :%s"
"Config field '%s' was not found","Кофігураційне поле '%s' не знайдено"
"Directory %s not readable","Директорія %s не читається"
"Incorect filename %s","Некоректне ім'я файлу %s"
"Installation file not found for '%s'","Файл інсталяції для '%s' не знайдено"
"Item(s)","Запис(ів)"
"Module '%s' is installed already","Модуль '%s' уже встановлено"
"Module '%s' is required by '%s', but can't be installed","Модуль '%s' вимагає '%s', тому неможе бути встановленим"
"Module '%s' was successfully installed","Модуль '%s' інстальовано"
"Module '%s', (version %s %s) is required by '%s', but can't be upgraded","Модуль '%s', (версія %s %s) вимагає '%s', тому не може бути оновленим"
"Powered by %s v. %s","Працює на %s %s"
"Report any %s you've found","Напишіть про %s з якими ви зіштовхнулись"
"An error has occured processing your request","Помилка обробки запиту"
"Attributes","Атрибути"
"Billing Address","Адреса оплати"
"Bought products","Куплений продукт"
"Box was saved successfully","Блок успішно збережено"
"Bugs or Issues","помилки чи проблеми"
"Cannot open file with write permissions","Неможу відкрити файл на запис"
"Change password","Зміна пароля"
"Change your password","Зміни свій пароль"
"Check the status of orders","Превірити статус замовлень"
"Close Window","Закрити вікно"
"Comments","Коментарі"
"Config file is corrupted","Пошкоджений файл конфігурації"
"Copyright &copy; 2008, Axis, Inc. All Rights Reserved","Copyright &copy; 2008, Axis, Inc. Всі права захищені"
"Copyright","Copyright"
"Custom Info about this order","Додаткова інформація про замовлення"
"Custom Info","Додаткова інформація"
"Data was saved successfully","Дані успішно збережені"
"Date","Дата"
"Dear","Шановний(а)"
"Delivery Address","Адрес доставки"
"Dir %s not exist","Директорія %s не існує"
"E-mail","Електронна пошта"
"Error write file : %s dir chmod 755 need","Помилка записа файлу : %s директорія мусить мати хочаб такі права 0755 "
"File already exist","Файл уже існує"
"Filename","Ім'я файлу"
"Final price","Кінцева ціна"
"Grand Total","Разом"
"Hello","Привіт"
"Hello, you have new order, on","Привіт, Ви маєте нове замовлення"
"If you feel that you have received this email in error, please send an email to","Якщо Ви отримали цей лист помилково, надішліть лист"
"If you want to change your password, go to %s","Для зміни свого паролю, ідіть по адресі %s"
"If you want to change your password, go to <a href="%s">Change password</a>","Для зміни свого паролю, ідіть по адресі <a href="%s">Change password</a>"
"Incorrect field path","Неправильне поле шлях"
"Latest version of module is already installed","Уже встановлено останню версію модуля"
"Login","Увійти"
"Make changes to your account information","Внесіть зміни в дані аккаунту"
"Message was sended to you. Check your mailbox","Послання було надіслано повідомлення про тебе. Перевірте Вашу поштову скриньку"
"Module is not installed yet","Цей модуль ще не був встановленим"
"Module was successfully uninstalled","Модуль успішно видалено"
"New customer account created on ","Новий аккаунт створено"
"No data to save","Немає даних для збереження"
"Notice","Повідомлення"
"Once your package ships we will send an email with a link to track your order.","Після того як Вам відправлено пакунок з замовленням також буде надіслано лист для відстеження доставки."
"Order Date","Дата замовлення"
"Order total","Загальна сума замовлення"
"Order","Замовлення"
"Password","Пароль"
"Payment Method","Метод оплати"
"Price","Ціна"
"Proceed through checkout faster when making a purchase","Швидше оформляти замовлення при здійсненні покупки"
"Product Name","Назва продукту"
"Products","Продукти"
"QTY","К-сть"
"Quantity","Кількість"
"Removal requests can be sent to this address and will be honored and respected.","Видалення запити можуть бути відправлені на цю адресу і буде шаною і повагою."
"Report","Звіт"
"Required fields are missing","Пропущені обов'язкові для заповнення поля"
"SKU","Складський код"
"See Details Info","Дивись детальну інформацію"
"Shipping","Доставка"
"Shipping Method","Метод доставки"
"Sites","Сайти"
"Subtotal","Разом"
"Template not found","Шаблон не знайдено"
"Template was saved successfully","Шаблон успішно збережено"
"Thank you for your order from %s","Дякуємо Вам за замовлення на %s"
"This email address was given to us by you or by one of our customers.","Ця адреса була надана нам Вами або одним із наших користувачів"
