"Add","Додати"
"Attribute","Атрибут"
"Date","Дата"
"Price","Ціна"
"Product (id)","Ідентифікатор продукту"
"Product date","Дата створення продукту"
"Product price","Ціна продукту"
"Add New Discount","Створити нову знижку"
"Customer Groups","Група користувачів"
"Discount '%s' successefull saved","Знижка '%s' успішно збережена"
"Discount Name","Назва знижки"
"Discount Priority","Пріоритет знижки"
"Discount type","Тип знижки"
"Discounts","Знижки"
"Edit Discount","Редагувати"
"From Date","Діє з"
"Is Combined","Комбінована"
"Show All","Показати всі"
"Show only Special","Тільки спеціальні"
"Show without Special ","Всі окрім спеціальних"
"Status","Статус"
"To Date","Дія закінчується"
"Update value","Оновити значення"
"You can not use those symbols","Ви не можете використовувати такі символи"
"Season sale","Розпродаж"
"General","Загальне"
"Additional Conditions","Додаткові умови"
