"Google analytics","Google analytics"
"Enabled","Увімкнено"
"GOOGLE_ANALYTICS_UACCT","GOOGLE_ANALYTICS_UACCT"
"Id","Id"
"Language(en_EN)","Language(en_EN)"
"Optional partner or store affilation","Optional partner or store affilation"
"Prefix","Префікс"
"PRODUCTS ATTRIBUTES BRACKETS","PRODUCTS ATTRIBUTES BRACKETS"
"PRODUCTS ATTRIBUTES DELIMITER","PRODUCTS ATTRIBUTES DELIMITER"
"USE PAGENAME","USE PAGENAME"
"Conversion option","Conversion option"
"General","Загальне"
"Products attributes","Атрибути продукта"
"Tracking options","Опції відстежування"
"Enabled currency convertion","Enabled currency convertion"
"Enabled tracking","Увімкнути відстежування"
