"Google base","Google base"
"Application","Додаток"
"Connection type","Тип з'єднання"
"dryRun","dryRun"
"Item type","Тип"
"Link products to","Прив'язувати продукти до"
"Login","Логін"
"Password","Пароль"
"Payment","Оплата"
"Payment notes","Примітки про оплату"
"General","Загальне"
"Google base","Google base"
"Set 'Yes' for testing, 'No' for production","Встановіть 'Yes' для тестування, 'No' для роботи"
"Name of the application that last modified this item.\r\nAll applications should set this attribute whenever they insert or update an item. Recommended format : Organization-ApplicationName-Version","Ім'я додатку, який останній модифікував продукт.\r\nВсі додатки повинні пеердавати цей атрибут при додаванні чи оновленні продукта. Формат, що рекомендується: Організація-НазваДодатку-Версія"
"If you want to use GoogleBase pages as landing page for your items, or you  can't give the link to your webstore - select Google base, otherwise - select Website.","Якщо ви хочете використовувати сторінку GoogleBase як основну сторінку продукта, чи не можете надати посилання на ваш магазин - оберіть Google base, в іншому випадку - виберіть Website."
"Type of your products. Read this for more information http://code.google.com/apis/base/starting-out.html#ItemTypes","Тип продуктів. Більше інформації можна взнати тут: http://code.google.com/apis/base/starting-out.html#ItemTypes"
"Let your customers buy with all major credit cards","Дозволити користувачам купувати усіма основними кредитними картками"
"",""
"Login type. For ClientLogin fill login and password fields. For AuthSub you will have to enter login and password manually","Тип автентифікації. Для ClientLogin заповніть логін на пароль. При AuthSub вам буде необхідно вводити ці дані вручну"
"Your google account to submit products","Ваш google профіль для відсилання продуктів"
"Password to google account","Пароль до профіля"
