"License agreements","Погодження ліцензії"
"Server requirements","Вимоги до сервера"
"Localization","Локалізація"
"Store configuration","Конфігурація магазина"
"Setup admin account","Налаштування профілю адміністратора"
"Modules","Модулі"
"All done","Завершено"
"Server Capabilities","Сервер"
"PHP Version","Версія PHP"
">= 5.2",">= 5.2"
"PHP Settings","Налаштування PHP"
"Off","Вимкенено"
"On","Увімкнено"
"Magic quotes","Magic quotes"
"File uploads","File uploads"
"Session autostart","Session autostart"
"Session use trans SID","Session use trans SID"
"PHP Extensions","Розширення PHP"
"Loaded","Завантажено"
"Not Loaded","Не завантажено"
"Writable","Можливий запис"
"Not Writable","Запис неможливий"
"Enabled","Увімкено"
"Disabled","Вимкнено"
"Can't connect to database. Check server name, username or user password","Неможливо з'єднатись із базою даних. Перевірте назву сервера, профіля або пароль"
"Can't select this database, check database name","Неможливо вибрати базу даних. Перевірте правильність її назви"
"Fill all required fields please","Заповніть всі обов'язкові поля"
"Config file is not writable at %s","Не вистачає прав на запис конфігураційного файла %s"
"Please enable JavaScript in your browser.","Увімкніть JavaScript у браузері."
"Language","Мова"
"Copyright &copy; 2010, Axis, Inc. All Rights Reserved","Copyright &copy; 2010, Axis, Inc. Всі права захищено"
"Database connection","З'єднання із базою даних"
"Database Server","Сервер бази даних"
"The address of the database server in the form of a hostname or IP address","Адреса сервера у вигляді назви або ip-адреси"
"Database Name","Ім'я бази даних"
"The name of the database to hold the data in","Назва бази даних, що буде зберігати дані"
"Table prefix","Префікс таблиць"
"Username","Користувач"
"The username used to connect to the database server","Ім'я користувача, для з'єднання із базою даних"
"Password","Пароль"
"The password that is used together with the username to connect to the database server","Пароль, що буде використовуватись для з'єднання із базою даних"
"Web access options","Налаштування доступу до сайта"
"Base Url","Посилання на сайт"
"Frontend Url","Посилання на сайт"
"Admin Path","Шлях до панелі адміністрування"
"Administrative panel path","Шлях до панелі адміністрування"
"Use Secure URLs (SSL)","Використовувати захищений протокол (SSL)"
"Secure Url","Захищене посилання"
"Site secure url","Захищене посилання на сайт"
"Store configuration","Нагаштування магазину"
"Encription Key","Ключ шифрування"
"Key that will be used to encrypt private data like passwords, usernames, credit cards etc.","Ключ, що буде використовуватись для шифрування приватних даних (паролі, дані кредитних карток та інше)"
"Locale","Локаль"
"Timezone","Часовий пояс"
"Currency","Валюта"
"Standard setup","Стандартне встановлення"
"Advanced setup","Користувацьке встановлення"
"No modules found","Модулів не знайдено"
"Email","Електронна пошта"
"Firstname","Ім'я"
"This name you will need to access to store backend","Це ім'я, що буде використовуватись для доступу до адміністративної панелі"
"Lastname","Прізвище"
"License","Ліцензія"
"Requirements","Вимоги"
"Server configuration doesn't meet the Axis needs","Конфігурація сервера не відповідає вимогам Axis"
"Configuration","Налаштування"
"Admin User Settings","Налаштування профіля адміністратора"
"Installation Mode","Режим встановлення"
"Axis was successfully installed","Axis був успішно встановлений"
"Title","Назва"
"Expected Value","Значення, що очікується"
"Server Value","Значення сервера"
"Success","Успіх"
"Continue","Продовжити"
"Back","Назад"
"Refresh","Оновити"
"Accept and Continue","Прийняти та продовжити"
"Default locale settings","Налаштування локалізації по-замовчуванню"
"Additional locales","Додаткові локалі"
"Add Locale","Додати локаль"
"Add Currency","Додати валюту"
"Install","Встановити"
"Hide required","Сховати обов'язкові"
"Hide catalog","Сховати каталог"
"Hide payment","Сховати платіжні модулі"
"Hide shipping","Сховати модулі доставки"
"Administrator account","Профіль адміністратора"
"Report any %s you've found","Повідомте про будь-які %s які ви знайшли"
"Report","Звіт"
"Bugs or Issues","помилки чи недопрацювання"
"Installation Process","Процес встановлення"
"Go to %s","Перейти до %s"
"Frontend","Сайту"
"Backend","Адміністративної панелі"
"Crypt key","Ключ шифрування"
"Installing. Please wait...","Встановлення. Зачекайте будь-ласка..."
"Your server must have mod_rewrite module loaded to go futher","Для продовження встановлення, на сервері необхідно завантажити модуль mod_rewrite"
"Server configuration doesn't meet the Axis needs","Конфігурація сервера не відповідає вимогам Axis"
"File Permissions","Файлова система"
