"Can't buy %s with qty %s","Неможливо купити %s кількістю %s"
"New order status create : %s","Новий статус замовлення створено: %s"
"Order status  %s upload","Статус замовлення  %s оновлено"
"Order status not exist","Такий статус замовлення не існує"
"Order status was changed to %s","Статус замовлення змінено на %s"
"Product can't be shipped. Name: %s, Sku: %s","Продукт не можке бути доставлено. Назва: %s, Код: %s"
"Relation no change. Order status %s is SYSTEM ","Зв'язок не змінено. Статус %s є системним "
"Actions","Дії"
"Attributes","Атрибути"
"Backorder","Backorder"
"Bill to","Bill to"
"Billing","Оплата"
"Comments","Комментарі"
"Customer Notified","Замовник повідомлений"
"Customer email","Скринька замовника"
"Date added","Дата створення"
"Date","Дата"
"Delivery","Доставити"
"Fax","Факс"
"Grand Total","Разом"
"Id","№"
"Ip","Ip"
"Name","Назва"
"No data to print","Нема, що печатати"
"Order Date","Дата замовлення"
"Order Number","Номер замовлення"
"Order Status","Статус замовленння"
"Order Subtotal","Разом"
"Order Total","Загалом"
"Order not found","Замовлення не знайдено"
"Order status %s" already exist"","Статус замовлення %s" вже існує""
"Order was deleted successfully","Замовлення видалено"
"Order","Замовлення"
"Orders","Замовлення"
"Payment Method","Метод оплати"
"Payment","Оплата"
"Phone","Телефон"
"Please direct this email to the Accounting department so that it may","Перешліть будь-ласка цей лист до бухгалтерії"
"Price","Ціна"
"Products","Продукти"
"QTY","К-сть"
"Qty","К-сть"
"Relation not exist %s <=> %s","Зв'язок не існує %s <=> %s"
"SKU","Складський код"
"Ship to","Доставити"
"Shipping","Доставка"
"Shipping & Handling","Доставка і Обробка"
"Shipping Method","Метод доставки"
"Shipping Tax","Податок на доставку"
"Site","Сайт"
"Sold to","Продано"
"Status not exist","Статус не існує"
"Status was deleted successfully","Статус видалено"
"Status was saved successfully","Статус збережено"
"Subtotal","Разом"
"Tax","Податок"
"Total Shipping Charges","Загальна сума витрат на доставку"
"Total","Загалом"
"Undefined","Не визначено"
"View All","Показати всі"
"View","Перегляд"
"edit","редагувати"
"new window","нове вікно"
"Recent Orders","Останні замовлення"
"No orders found","Замовлень не знайдено"
"Order statuses","Статуси замовлень"
"Sales","Продажі"
"Default Order Status","Статус замовлення по-замовчуванню"
"Order notifications reciever","Отримувач повідомлень про замовлення"
"Pattern for Custom Order Number","Патерн номера замовлення"
"Prefix for Custom Order Number","Префікс номера замовлення"
"All notifications about new orders will be sended to this email","Всі повідомлення про нові замовлення будуть відсилатись на вказану адресу"
"Order created","Замовлення створене"
"Your order","Ваше замовлення"
"All Time Sales","Продажі за весь час"
"Today Sales","Продажі за сьогодні"
"Average Order Total","Середня сума замовлення"
"Conversion rate","Конверсія"
