"Can't create folder %s. Permission denied","Не можу створити директорію %s. Недостатньо прав"
"Can't write to folder %s. Permission denied","Не можу писати в директорію %s. Недостатньо прав"
"Search results for '%s'","Результати по запиту '%s'"
"Advanced Search","Розширений пошук"
"All result","Всі результати"
"Item(s)","Запис(ів)"
"Please, update search indexes, to enable search functionality","Будь ласка, поновіть індекси пошуку"
"Search entire store...","Пошук по магазину..."
"Search returns no results","Нічого не знайдено"
"Search","Пошук"
"Searches last month","Пошукові запити за місяць"
"Searches last week","Пошукові запити за тиждень"
"Searches today","Пошукові запити за день"
"Searches with null result","Пошукові запити без результатів"
"Show per page","Показати на сторінці"
"Search Queries","Пошукові запити"
