"Engines","Механізми"
"Not used","Не використовується"
"Products","Продукти"
"Results","Результати"
"Site Map All Pages","Карта сайта. Всі сторінки"
"Site Map All Products","Карта сайта. Всі продукти"
"Site Map Categories","Карта сайта. Категорії"
"Sitemap","Карта сайта"
"Ask Ping Url","Ask Ping Url"
"Enabled","Увімкнено"
"Frequency","Frequency"
"Google Ping Url","Google Ping Url"
"Msn Ping Url","Msn Ping Url"
"Priority","Пріоритет"
"Show pages","Показувати сторінки"
"Start Time","Start Time"
"Yahoo Ping Url","Yahoo Ping Url"
"Categories Options","Categories Options"
"CMS Pages Options","CMS Pages Options"
"General","Загальне"
"Products Options","Products Options"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0"
"Show pages on sitemap page","Показувати сторінки на сторінці карти сайта"
"",""
