"Tax Classes","Податкові класи"
"Tax Rates","Податкові ставки"
"Tax","Податок"
"Shipping TaxBasis","Базовий податок на доставку"
"Shipping TaxClass","Клас податку на доставку"
"TaxBasis","Базовий податок"
"General","Загальне"
"Shipping Tax","Податок на доставку"
"Tax Basis","Базовий податок"
"Tax Class","Клас податку"
"Address that will be used for tax calculation","Адреса, яка буде використана для обрахунку податка"
"Tax class that will be used for tax calculation","Клас податку, який буде використаний для обрахунку податка"
"Address that will be used for shipping tax calculation","Адреса, яка буде використана для обрахунку податку на доставку"
"Tax class that will be used for shipping tax calculation","Клас податку, який буде використаний для обрахунку податку на доставку"
